safetyreportid,field_count_raw,field_count_converted
23315262,72,72
23359258,66,66
23315882,59,59
23359487,68,68
23445248,68,68
23334730,72,72
23445343,64,64
23338265,46,46
23445653,67,67
23338427,47,47
23446463,71,71
23342181,67,67
23446773,68,68
23342572,66,66
23447044,72,72
23355895,84,84
23448393,69,69
23359015,76,76
23471308,76,76
23359244,73,73
23471942,75,75
23364119,51,51
23473076,69,69
23369436,86,86
23473643,72,72
23369665,71,71
23324563,59,59
23364362,79,79
23326398,69,69
23364700,71,71
23326789,77,77
23366993,75,75
23327155,77,77
23355397,65,65
23329490,68,68
23356059,74,74
23329814,64,64
23356154,67,67
23330032,74,74
23356235,79,79
23406216,63,63
23357126,75,75
23406702,69,69
23379170,84,84
23448784,77,77
23379251,64,64
23448999,62,62
23379695,76,76
23449217,74,74
23381371,66,66
23449312,56,56
23381586,80,80
23449622,76,76
23376970,78,78
23450365,58,58
23383382,83,83
23450460,88,88
23383625,74,74
23451580,83,83
23358260,72,72
23452390,63,63
23379386,65,65
23344084,67,67
23379562,66,66
23344246,75,75
23380696,72,72
23345232,69,69
23381897,72,72
23345623,58,58
23390834,66,66
23348000,70,70
23393264,51,51
23352966,75,75
23393398,70,70
23408847,74,74
23370572,80,80
23408995,76,76
23370787,81,81
23411238,74,74
23371287,69,69
23478732,80,80
23372097,67,67
23479380,71,71
23372798,67,67
23453658,75,75
23394102,59,59
23453915,76,76
23396557,57,57
23454901,70,70
23387271,73,73
23455940,69,69
23387796,71,71
23355167,74,74
23374460,71,71
23356678,76,76
23374985,75,75
23411900,81,81
23375351,66,66
23414626,74,74
23376404,70,70
23482391,83,83
23392011,73,73
23484469,71,71
23396680,81,81
23416637,66,66
23400300,49,49
23416866,67,67
23395290,63,63
23417003,64,64
23395681,82,82
23417528,62,62
23395843,60,60
23418109,62,62
23396558,65,65
23359365,66,66
23396910,77,77
23359499,74,74
23397597,68,68
23359918,68,68
23380401,69,69
23360136,80,80
23382021,63,63
23361027,51,51
23382412,65,65
23361485,68,68
23402149,79,79
23419377,60,60
23403526,75,75
23419687,71,71
23404040,66,66
23364644,75,75
23404551,74,74
23423846,80,80
23386568,80,80
23424184,68,68
23387945,80,80
23425466,65,65
23404956,76,76
23426276,66,66
23405819,82,82
23426438,73,73
23406629,79,79
23426519,63,63
23402985,66,66
23392089,67,67
23403485,53,53
23394142,73,73
23403823,69,69
23394276,74,74
23404714,80,80
23396544,73,73
23405038,75,75
23401231,65,65
23408305,64,64
23402027,78,78
23408615,76,76
23496556,74,74
23409249,59,59
23498486,69,69
23409397,58,58
23500042,73,73
23388188,66,66
23431025,77,77
23389389,76,76
23431159,72,72
23391470,72,72
23432198,75,75
23409369,84,84
23433117,76,76
23409598,58,58
23433670,59,59
23410464,65,65
23541010,66,66
23410693,58,58
23501768,65,65
23411221,75,75
23501997,67,67
23414461,73,73
23436019,68,68
23415042,74,74
23436868,64,64
23415539,68,68
23504860,67,67
23405605,69,69
23506871,65,65
23406239,60,60
23458141,67,67
23393157,81,81
23458990,64,64
23394062,75,75
23459166,77,77
23395182,69,69
23459261,70,70
23395263,72,72
23459328,73,73
23395506,76,76
23508491,64,64
23418564,67,67
23509139,81,81
23417092,73,73
23509234,72,72
23418589,69,69
23509382,69,69
23418994,67,67
23510058,71,71
23409465,71,71
23511435,72,72
23410803,83,83
23494697,72,72
23411532,47,47
23540190,64,64
23411909,74,74
23540648,65,65
23395654,61,61
23540796,72,72
23421427,67,67
23541377,65,65
23422170,79,79
23477935,69,69
23422804,70,70
23554562,71,71
23399852,66,66
23554805,57,57
23402042,79,79
23557330,69,69
23423829,80,80
23484672,67,67
23423843,81,81
23485024,68,68
23424491,73,73
23486278,74,74
23424639,80,80
23558140,70,70
23424949,52,52
23558450,64,64
23416702,67,67
23488722,65,65
23416850,67,67
23488937,76,76
23418012,62,62
23491476,73,73
23418780,71,71
23543430,77,77
23419118,62,62
23562486,79,79
23419266,77,77
23543955,71,71
23419361,62,62
23493906,77,77
23420185,76,76
23493920,77,77
23425354,64,64
23547290,64,64
23425488,63,63
23547829,79,79
23425569,66,66
23549678,74,74
23425611,64,64
23499090,70,70
23404835,78,78
23565645,66,66
23406198,68,68
23566374,63,63
23420509,76,76
23567508,68,68
23422844,67,67
23567980,76,76
23427111,53,53
23568156,81,81
23427421,63,63
23568628,69,69
23428622,66,66
23568776,75,75
23428918,65,65
23554580,75,75
23431686,79,79
23555295,70,70
23433697,65,65
23555552,78,78
23433820,69,69
23571882,75,75
23431443,68,68
23572005,77,77
23433306,76,76
23572072,80,80
23436937,68,68
23504330,78,78
23437275,67,67
23504464,54,54
23415189,50,50
23504774,65,65
23417848,74,74
23505841,76,76
23418429,61,61
23506031,68,68
23430067,66,66
23506112,75,75
23431606,68,68
23576337,80,80
23422912,68,68
23562909,80,80
23423289,74,74
23564448,82,82
23423708,73,73
23565272,70,70
23424222,71,71
23565878,79,79
23443917,77,77
23578119,70,70
23444107,55,55
23579482,61,61
23444350,65,65
23511039,77,77
23432430,55,55
23579510,64,64
23433927,73,73
